"";"name";"brewery";"beer_type";"alc";"blg";"fermentation";"price"
"418";"Piwne Podziemie Juicy Trap #8 0,5l puszka";"piwne podziemie";"ipa";8;18;"top";14,99
"419";"Piwne Podziemie Sorachi Ninja 0,5l";"piwne podziemie";"pils";5;12;"bottom";9,99
"420";"Piwne Podziemie Triple Lush 0,5l puszka";"piwne podziemie";"ipa";9,4;20;"top";14,49
"421";"Piwne Podziemie Triple Vision 0,5l puszka";"piwne podziemie";"ipa";8,2;18;"top";13,49
"422";"Piwne Podziemie Tropicalia 0,5l puszka";"piwne podziemie";"ipa";4,4;13;"top";10,98
"423";"PRL Jasne niefiltrowane 0,5l puszka";"prl";"lager";4,7;10;"bottom";5,49
"424";"Profesja Car – butelka 330 ml";"profesja";"stout";13;28;"top";13,99
"425";"Profesja Cosplayer – But. 0,5l";"profesja";"ipa";4,7;11;"top";8,99
"426";"Profesja Dobosz Pszenica – But. 0,5l";"profesja";"pszeniczne";4,1;10;"top";8,99
"427";"Profesja Elektryk – butelka 0,5l";"profesja";"ipa";8,9;19;"top";11,99
"428";"Profesja Hopbot – 0,5l puszka";"profesja";"apa";5,1;12;"top";11,39
"429";"Profesja Kowboj – But. 500 ml";"profesja";"ipa";7;16;"top";10,49
"430";"Profesja Kulturysta – But. 0,5l";"profesja";"ipa";9,5;19;"top";32,39
"431";"Profesja Miksolog – But. 500ml";"profesja";"ipa";6;14;"top";9,99
"432";"Profesja Pogromca Smoków- But. 0,5l";"profesja";"apa";5,1;12;"top";8,99
"433";"Profesja Przekupka- But. 0,5l";"profesja";"pszeniczne";6,1;15,5;"top";9,29
"434";"Profesja Rockman- But. 0,5l";"profesja";"ipa";6,8;16;"top";9,99
"435";"Profesja Szlachcic – But. 0,5l";"profesja";"ipa";4,9;10,5;"top";9,99
"436";"Raciborskie Klasyczne – But. 0,5l";"browar zamkowy racibórz";"lager";5;12;"bottom";5,39
"437";"Raciborskie Mocne – But. 0,5l";"browar zamkowy racibórz";"lager";6,4;15;"bottom";5,99
"438";"ReCraft Banany na rauszu – But. 0,5l";"recraft";"pszeniczne";4,6;12;"top";32,39
"439";"ReCraft Black Curris – But. 0,33l";"recraft";"stout";8,5;25;"top";18,99
"440";"ReCraft Cold Strata IPA – But. 0,5l";"recraft";"ipa";6,2;15;"top";9,99
"441";"ReCraft Double Vision 0,5l puszka";"recraft";"ipa";7,2;18;"top";11,49
"442";"ReCraft MC Farmer – But. 0,5l";"recraft";"ipa";6;15;"top";8,49
"443";"ReCraft Milkołak – But. 0,5l";"recraft";"stout";5,2;16;"top";8,49
"444";"ReCraft Polish Hops Cold IPA 0,5l";"recraft";"ipa";6;15;"top";9,99
"445";"ReCraft Polska Pszenica – But. 0,5l";"recraft";"pszeniczne";4,6;12;"top";8,49
"446";"ReCraft Purista – But. 330 ml";"recraft";"stout";11;26;"top";18,99
"447";"ReCraft RIS 24 Bourbon & Rum BA 0,5l";"recraft";"stout";9,5;24;"top";18,99
"448";"ReCraft Vermont IPA – But. 0,5l";"recraft";"ipa";5,9;15;"top";8,99
"449";"ReCraft Wielka Szycha – But. 0,5l";"recraft";"pils";5;12;"bottom";7,98
"450";"Sarabanda I Want You Now 0,5l puszka";"sarabanda";"ipa";6,7;16;"top";13,99
"451";"Sarabanda Pungently Tropical 0,5l puszka";"sarabanda";"ipa";6,7;16,5;"top";15,99
"452";"SoliPiwko Hop Chapo 0,5l puszka";"solipiwko";"ipa";6,3;18;"top";13,99
"453";"SoliPiwko Hop Costello 0,5l puszka";"solipiwko";"ipa";6,3;18;"top";14
"454";"SoliPiwko Hop Escobar 0,5l puszka";"solipiwko";"ipa";6,4;18;"top";13,99
"455";"Sourtime Pastry Sour IPA Blackberry & Cherry";"maryensztadt";"ipa";6,8;18;"top";10,39
"456";"Staropolskie Dworskie 0,5l puszka";"staropolskie";"lager";5,7;12;"bottom";5,49
"457";"Staropolskie Pszenne- But. 0,5l";"staropolski";"pszeniczne";5,2;12;"top";6,89
"458";"Tenczynek Cesky Lezak- But. 0,5l";"tenczynek";"lager";5;11;"bottom";4,99
"459";"Tenczynek Lager – But. 0,5l";"tenczynek";"lager";5;11,5;"bottom";4,99
"460";"Tenczynek Pszeniczne – But. 0,5l";"tenczynek";"pszeniczne";5,2;12,5;"top";6,49
"461";"Triochgornoje Premium Ale – But. 0,45l";"triochgornoje";"ale";4,9;12;"top";6,49
"462";"Trzech Kumpli American Beauty 0,5l";"trzech kumpli";"ale";5;12,5;"top";10,69
"463";"Trzech Kumpli Blackcyl Triple 0,5l";"trzech kumpli";"ipa";9;21;"top";16,69
"464";"Trzech Kumpli Califia 0,5l puszka";"trzech kumpli";"ipa";7;16,5;"top";11,69
"465";"Trzech Kumpli Idiota RIS 0,33l";"trzech kumpli";"stout";10,5;28;"top";16,29
"466";"Trzech Kumpli Igrok – But. 0,33l";"trzech kumpli";"stout";10,5;28;"top";29,99
"467";"Trzech Kumpli Knotty – But. 0,5l";"trzech kumpli";"lager";5,8;14;"bottom";10,98
"468";"Trzech Kumpli Lager niemiecki – But. 0,5l";"trzech kumpli";"lager";5,3;12,5;"bottom";9,99
"469";"Trzech Kumpli Misty 0,5l puszka";"trzech kumpli";"ipa";5,5;15;"top";11,49
"470";"Trzech Kumpli Misty- But. 0,5l";"trzech kumpli";"ipa";5,5;15;"top";11,69
"471";"Trzech Kumpli Nesta – But. 0,5l";"trzech kumpli";"stout";6;16,5;"top";9,99
"472";"Trzech Kumpli Oaty- But. 0,5l";"trzech kumpli";"stout";5,5;15,5;"top";8,49
"473";"Trzech Kumpli Pan Ipani 0,5l puszka";"trzech kumpli";"ipa";6;16,5;"top";11,99
"474";"Trzech Kumpli Pan Ipani Triple 0,5l";"trzech kumpli";"ipa";8;21;"top";15,99
"475";"Trzech Kumpli Pia – But. 0,5l";"trzech kumpli";"ipa";4,4;12,5;"top";10,98
"476";"Trzech Kumpli Piece of Cake 0,5l";"trzech kumpli";"ipa";6;14;"top";9,99
"477";"Trzech Kumpli Pils 0,5l puszka";"trzech kumpli";"pils";4,4;10,5;"bottom";8,99
"478";"Trzech Kumpli Pils- But. 0,5l";"trzech kumpli";"pils";4,4;10,5;"bottom";8,99
"479";"Trzech Kumpli Weizen- But. 0,5l";"trzech kumpli";"pszeniczne";5;12,5;"top";8,99
"480";"Wielka Sowa Amper- But. 0,5l";"wielka sowa";"apa";4,9;12;"top";7,98
"481";"Wielka Sowa Bateria – But. 0,5l";"wielka sowa";"lager";4,9;12;"bottom";7,98
"482";"Wielka Sowa Ciemne- But. 0,5l";"wielka sowa";"lager";4,9;12;"bottom";6,99
"483";"Wielka Sowa Faza – butelka 500 ml";"wielka sowa";"ipa";6,5;16;"top";7,98
"484";"Wielka Sowa Jasne – But.  0,5l";"wielka sowa";"lager";4,9;12;"bottom";6,99
"485";"Wielka Sowa Marcowe – But. 0,5l";"wielka sowa";"lager";6,3;13,8;"bottom";6,99
"486";"Wielka Sowa Pils –But. 0,5l";"wielka sowa";"pils";4,5;11;"bottom";6,99
"487";"Wielka Sowa Przepięcie- But. 0,5l";"wielka sowa";"ale";3,8;10,2;"top";7,98
"488";"Wielka Sowa Pszeniczne mango/marakuja-But. 0,5l";"wielka sowa";"pszeniczne";4,9;12;"top";7,98
"489";"Wielka Sowa Pszeniczne- But. 0,5l";"wielka sowa";"pszeniczne";4,9;12;"top";6,99
"490";"Wielka Sowa Rezystor- But. 0,5l";"wielka sowa";"stout";4,5;16;"top";7,98
"491";"Wielka Sowa Zimowe- But. 0,5l";"wielka sowa";"ale";4,5;16;"top";7,98
"492";"Za Miastem Błogi stan- But. 0,5l";"za miastem";"ipa";6;15;"top";10,49
"493";"Za Miastem Cicha noc- But. 0,5l";"za miastem";"stout";5,8;16;"top";9,99
"494";"Za Miastem Dobra Noc- But. 0,5l";"za miastem";"stout";5,8;15;"top";9,59
"495";"Za Miastem Dobrze jest – But. 0,5l";"za miastem";"ipa";5,6;14;"top";9,99
"496";"Za Miastem Dzień wolny- But. 0,5l";"za miastem";"pszeniczne";5,6;12,5;"top";7,98
"497";"Za Miastem Lekkość Bytu – But. 0.5l";"za miastem";"pils";4,8;11,5;"bottom";8,49
"498";"Za Miastem Pełen luz- But. 0,5l";"za miastem";"ipa";6,5;16;"top";9,99
"499";"Za Miastem Słoneczny dzień – But. 0,5l";"za miastem";"pszeniczne";4,8;12,4;"top";9,48
"500";"Za Miastem Strefa relaksu 0,5l";"za miastem";"stout";5,8;15;"top";9,99
"501";"Za Miastem Wieczorową porą – But. 0,5l";"za miastem";"ipa";6;15;"top";9,99
"502";"Zatecky Gus Svetly – But. 0,48l";"zatecky";"lager";4,6;11;"bottom";5,49
"503";"Zestaw Św. Patryka – 6 piw/0,5l";"krajan";"pszeniczne";4,4;12,1;"top";41,94
"504";"Perun Jasny Grom- But. 0,5l";"perun";"apa";5,6;13;"top";8,99
"505";"Nepomucen Milo Pszeniczne But. 0,5l";"nepomucen";"pszeniczne";4,9;12,4;"top";8,39
"506";"Perun Noc Kupały- But. 0,5l";"perun";"stout";6,4;15;"top";8,49
"507";"Profesja Piwowar – Mango –  But. 0,5l";"profesja";"pszeniczne";4,9;11,9;"top";8,99
"508";"Perun Profanum IPA- But. 0,5l";"perun";"ipa";5,6;13;"top";10,39
"509";"Nepomucen Range ALE 0,5l";"nepomucen";"ale";5;12;"top";8,49
"510";"Perun Topór Peruna – But. 0,5l";"perun";"ipa";8,1;19;"top";8,99
"511";"Profesja Latarnik – But. 500 ml";"profesja";"stout";4,1;10,5;"top";11,99
"512";"Maryensztadt Mysterious IPA 0,5l";"maryensztadt";"ipa";6,5;15;"top";10,39
"513";"Maryensztadt Sourtime Agrest 0,5l";"maryensztadt";"ale";3,5;9;"top";8,99
"514";"Profesja Alchemik- But. 500 ml";"profesja";"apa";6,8;15,9;"top";9,99
"515";"Profesja Bard ALE- But. 0,5l";"profesja";"apa";5,9;13;"top";9,99
"516";"Za Miastem Długi weekend 0,5l";"za miastem";"pils";5;12,1;"bottom";7,98
"517";"Birbant Hopsbant Fresh IPA 0,5l";"birbant";"ipa";6,7;16,5;"top";9,99
"518";"Piwne Podziemie Juicilicious 0,5l";"piwne podziemie";"ipa";6;15;"top";10,49
"519";"Birbant OZ Whisky BA 0,33l";"birbant";"stout";10,5;24,5;"top";15,49
"520";"Salamander Pale Ale- But. 0,5l";"stu mostów";"ale";4,8;12,5;"top";9,99
"521";"Birbant Klasyczny Weizen 0,5l";"birbant";"pszeniczne";5,1;12;"top";7,49
"522";"Za Miastem Własne sprawy But. 0,5l";"za miastem";"apa";6;13,6;"top";9,79
"523";"WRCLW Pszeniczny – But. 0,5l";"stu mostów";"pszeniczne";4,5;11;"top";7,79
