"";"name";"brewery";"beer_type";"alc";"blg";"fermentation";"price"
"210";"Hopito Alien City – 0,5l puszka";"hopito";"ipa";5,8;15;"top";13,99
"211";"Hopito Armagedon – 0,5l puszka";"hopito";"ipa";5,7;15;"top";13,49
"212";"Hopito Badass – 0,44l puszka";"hopito";"stout";12;30;"top";44,99
"213";"Hopito Butcher Pig – 0,5l puszka";"hopito";"ipa";7,6;19;"top";14,99
"214";"Hopito Chillout – 0,5l puszka";"hopito";"ipa";6,1;16;"top";13,49
"215";"Hopito Doggy District 0,5l puszka";"hopito";"ipa";7,7;19;"top";13,49
"216";"Hopito Ghost Train 0,5l puszka";"hopito";"ipa";8;19;"top";13,99
"217";"Hopito Hyped Art 0,5l puszka";"hopito";"ipa";7,9;19;"top";13,99
"218";"Hopito Hypnotize 0,5l puszka";"hopito";"ipa";6,1;16;"top";11,99
"219";"Hopito Monster APA – But. 0,5l";"hopito";"apa";5;12;"top";10,98
"220";"Hopito Monster Race 0,5l puszka";"hopito";"ipa";6;16;"top";13,49
"221";"Hopito Neon World 0,5l puszka";"hopito";"ipa";6,2;16;"top";12,99
"222";"Hopito Pizza Vibe 0,44l puszka";"hopito";"ipa";6,2;16;"top";11,99
"223";"Hopito Rock the Hop – 0,5l puszka";"hopito";"ipa";4,8;12;"top";13,49
"224";"Hopito Skulls – 500 ml puszka";"hopito";"ipa";4,8;12;"top";12,99
"225";"Hopito Street Party 0,44l puszka";"hopito";"ipa";6;15;"top";11,69
"226";"Hopito Super Heroes – But. 0,5l";"hopito";"ipa";6;16;"top";10,98
"227";"Hopito Wheat Club – But. 0,5l";"hopito";"pszeniczne";5;12;"top";10,98
"228";"Hopito Zombie Balls 0,5l puszka";"hopito";"ipa";6;16;"top";13,49
"229";"Hoplala Darling, I Love You-But. 0,5l";"hoplala";"ale";5,8;15;"top";8,99
"230";"Hoplala Dzika lala – But. 500 ml";"hoplala";"ale";5,2;13;"top";10,49
"231";"Hoplala Lady in Black – But. 0,5l";"hoplala";"stout";6,1;15;"top";8,99
"232";"Hoplala Perfekcyjna pani domu- But. 0,5l";"hoplala";"lager";5,3;13;"bottom";8,99
"233";"Hoplala Piękna mądra zdolna- But. 0,5l";"hoplala";"ale";5,1;12;"top";8,99
