"";"name";"brewery";"beer_link";"alc";"exctract";"type";"desc";"price"
"211";"Deer Bear HandyMan – But. 0,5l";"Deer Bear";"https://ipiwo.pl/produkt/deer-bear-handyman-but-05l/";"3.8";"10";"APA";"Handyman – jest to lekka, turbo pijalna Apa na klasycznych chmielach Simcoe, Citra, Mosaic. Idealny na upalne dni, ale nie tylko.";10,28
"212";"Deer Bear Ice Swimmer 0,5l puszka";"Deer Bear";"https://ipiwo.pl/produkt/deer-bear-ice-swimmer-05l-puszka/";"7.0";"18";"IPA";"Ice Swimmer – Hazy DIPA 18 BLG i 7,2% alk. Piwo zosta³o uwarzone przy pomocy dro¿d¿y London Fog, które nada³y mu wrêcz wzorcowego new englandowego sznytu. Do chmielenia u¿yliœmy zestawu chmieli, który wyrwie was z butów swoj¹ z³o¿onoœci¹. Mnóstwo owoców tropikalnych, jak melon, mango, limonka, pomarañcza, pestkowych, a tak¿e odrobina iglaków. Do tego mnóstwo niuansów od Nelsona i Sabro daj¹cych nuty kokosowe, winogronowe, a tak¿e limonkowe i nawet delikatnie przyprawowe.
TERMIN PRZYDATNOŒCI DO SPO¯YCIA: 22.02.2022";11,99
"213";"Deer Bear Jungle Boy – But. 0,5l";"Deer Bear";"https://ipiwo.pl/produkt/deer-bear-jungle-boy-but-05l/";"7.0";"19";"Sour";"Znacie nas i wiecie, ¿e kwaœne piwa to nasz konik. Tym razem postawiliœmy na bardzo niestandardowe po³¹czenie mango, czarnej porzeczki, a tak¿e bia³ej czekolady. Co tu du¿o mówiæ – przepyszne po³¹czenie.";11,99
"214";"Deer Bear Katsumoto 0,5l puszka";"Deer Bear";"https://ipiwo.pl/produkt/deer-bear-katsumoto-05l-puszka/";"7.0";"18";"IPA";"Katsumoto to tropikalna DIPA. Soczysta i pe³na smaku soczystego mango, a tak¿e tropikalnych owoców i cytrusów. Wszystko pochodzi z intensywnego chmielenia chmielami Azacca, Idaho7, Mosaic, Trident i Citra.";14,49
"215";"Deer Bear Let’s Cook Mango Gose 0,5l";"Deer Bear";"https://ipiwo.pl/produkt/deer-bear-lets-cook-mango-gose-05l/";"4.3";NA;"Owocowe, Gose";"Let’s Cook Mango Gose to kwaœno-s³one piwo z dodatkiem mango i limonki z browaru Deer Bear. W smaku delikatne, ale orzeŸwiaj¹ce, z wyraŸnie wyczuwaln¹ nut¹ owoców. Œwietnie sprawdzi siê w upalne dni.";9,99
"216";"Deer Bear Piernikowy osio³ek- But. 0,5l";"Deer Bear";"https://ipiwo.pl/produkt/deer-bear-piernikowy-osiolek-but-05l-2/";"5.0";NA;"Ale";"Przed Wami seria Toruñskie Historie – piwa pod mark¹ Deer Bear nawi¹zuj¹ce do Torunia i jego historii. Zakochani w Toruniu postanowiliœmy stworzyæ w³asnego osio³ka! Gorzk¹ historiê ma nasz s³odki osio³ek. Wieki temu s³u¿y³ jako prêgierz, ale obecnie stanowi atrakcjê miasta. Nasz to stout – raczej s³odziak, o smaku i zapachu korzennych przypraw i pieczonego jab³ka. Spróbuj nowoczesnej interpretacji tradycyjnego piwa.";8,99
"217";"Deer Bear Ramen Shop- But. 0,5l";"Deer Bear";"https://ipiwo.pl/produkt/deer-bear-ramen-shop-but-05l/";"5.2";NA;"Pils";"Porz¹dnie odle¿akowany pils, wyraŸnie chmielony z du¿ym udzia³em p³atków ry¿owych, które nadaj¹ mu lekkoœci i rzeœkoœci. Stworzony by pasowa³ zarówno do intensywnych dañ jak i samodzielnej degustacji. Wspania³e to piwo, nie zapomnisz go nigdy.";7,98
"218";"Deer Bear Ronin – 0,5l puszka";"Deer Bear";"https://ipiwo.pl/produkt/deer-bear-ronin-05l-puszka/";"6.0";"20";"Owocowe, Sour";"Ronin to ekstraktywny, owocowy, s³odko kwaœny sour z dodatkiem pulpy z yuzu, calamansi, a tak¿e brzoskwini. S³odycz przenika siê z kwaœnym charakterem piwa, a tropikalne owoce tylko podkreœlaj¹ to przepyszne po³¹czenie.";13,99
"219";"Deer Bear Sakura 0,5l puszka";"Deer Bear";"https://ipiwo.pl/produkt/deer-bear-sakura-05l-puszka/";"6.0";"16";"IPA";"Sakura to Hazy IPA w której tropikalna mieszanka chmieli komponuje siê z chiñsk¹ herbat¹ w stylu sencha. Z dodatkiem owoców wiœni, dzikiej ró¿y, kwiatów piwonii, jaœminu, a tak¿e p³atków ró¿y.";13,99
"220";"Deer Bear Santiago Dir Ber 0,33l";"Deer Bear";"https://ipiwo.pl/produkt/deer-bear-santiago-dir-ber-033l-2/";"9.0";"25";"Stout";"Santiago Dir Ber to piwo powsta³e na czeœæ tego s³awnego na ca³ym œwiecie pirata. Nie doœæ ¿e cechowa³ siê niesamowit¹ odwag¹ to s³yn¹ przy tym z niesamowitego ³akomstwa. Uwielbia³ wszelkiej maœci karaibskie desery okraszone pra¿onym kokosem, czekolad¹ w ka¿dej postaci i nutk¹ kawy. Teraz i ty mo¿esz spróbowaæ tej przepysznej p³ynnej interpretacji deseru.";29,99
"221";"Deer Bear Say My Name 0,5l puszka";"Deer Bear";"https://ipiwo.pl/produkt/deer-bear-say-my-name-05l-puszka/";"6.7";"15";"West Coast IPA";"Jak siê odnajduj¹ legendarne chmiele piwnej rewolucji w obecnych czasach? Nie ¿a³owaliœmy ukochanych zielonych roœlinek aby ukazaæ ich pe³n¹ moc. By wyeksponowaæ jeszcze bardziej efekt chmielenia lekko rozjaœniliœmy piwo p³atkami owsianymi, jednoczeœnie nadaj¹c odrobiny g³adkoœci bardzo wytrawnemu charakterowi west coast. Tak siê prezentuje nasze wspó³czesne podejœcie do west coast.";13,9
"222";"Deer Bear Slam Dunk 0,5l puszka";"Deer Bear";"https://ipiwo.pl/produkt/deer-bear-slam-dunk-05l-puszka/";"8.0";"19";"DDH, IPA";"Wci¹¿ szlifujemy umiejêtnoœci i staramy siê rozwijaæ produkuj¹c coraz to lepsze piwa. Przed Tob¹ najlepsze co do tej pory osi¹gnêliœmy w dziedzinie ³adowania chmielu do obrêczy. Na whirpool trafi³a Enigma oraz Citra, a na podwójne chmielenie w dwóch etapach u¿yliœmy El Dorado, Enigmy i Citry.";14,99
"223";"Deer Bear Tres Por Tres Barbados BA 0,33l";"Deer Bear";"https://ipiwo.pl/produkt/deer-bear-tres-por-tres-barbados-ba-033l/";"12.0";"30";"Stout";"Tres por tres to ciemny imperialny stout stworzony w kooperacji dwóch browarów: De Facto i Deer Bear. Jest to piwo treœciwe, pe³ne z³o¿onych aromatów kawy, czekolady i kokosa. Kawê wypali³a dla nas toruñska palarnia Fonte. Postawiliœmy na brazylijskie ziarno yellow burbon daj¹ce aromat i smak orzechów w czekoladzie, a tak¿e delikatnych nut suszonych owoców. Dope³nienie stanowi¹ pra¿one p³atki kokosa.";19,99
"224";"Deer Bear Tres Por Tres Bourbon BA 0,33l";"Deer Bear";"https://ipiwo.pl/produkt/deer-bear-tres-por-tres-bourbon-ba-033l/";"12.0";"30";"Stout";"Tres por tres to ciemny imperialny stout stworzony w kooperacji dwóch browarów: De Facto i Deer Bear. Jest to piwo treœciwe, pe³ne z³o¿onych aromatów kawy, czekolady i kokosa. Kawê wypali³a dla nas toruñska palarnia Fonte. Postawiliœmy na brazylijskie ziarno yellow burbon daj¹ce aromat i smak orzechów w czekoladzie, a tak¿e delikatnych nut suszonych owoców. Dope³nienie stanowi¹ pra¿one p³atki kokosa.";19,99
"225";"Delirium Tremens – But. 0,33l";"Piwa trudno dostêpne";"https://ipiwo.pl/produkt/delirium-tremens-but-033l/";"8.5";NA;"Belgijskie";"Jasne piwo, górnej fermentacji z belgijskiego browaru Huyghe. Piwo Delirium Tremens pojawi³o siê 26 grudnia 1989 roku. Do jego produkcji u¿ywa siê 3 rodzajów dro¿d¿y. Ponadto wielokrotnie nagradzane w miêdzynarodowych konkursach piwnych. Delirium Tremens otrzyma³o m.in. z³oty medal w Chicago w World Beer Championship w 1998 roku.";15,69
"226";"Dobry Materia³ Cold Brew Coffee 0,33l";"Bezalkoholowe";"https://ipiwo.pl/produkt/dobry-material-cold-brew-coffee-033l/";"0.0";NA;"Pszeniczne";"Ju¿ jest nowy szwarccharakter, nowy ulubieniec publicznoœci. Raz spróbujesz i ju¿ nic nie bêdzie takie samo. Ale jedno jest pewne – ju¿ ¿adne inne cold brew nie bêdzie Ci smakowaæ. Postanowiliœmy odczarowaæ razem z monko.COFFEE cold brew, a tak¿e odkryæ je na nowo! Mamy petardê jedyn¹ w swoim rodzaju! Kawa macerowana w lodowato zimnej, krystalicznie czystej wodzie Ÿródlanej przez 3 dni w ma³ych porcjach";9,29
"227";"Dobry Materia³ Gruszki na wierzbie 0,33l";"Bezalkoholowe";"https://ipiwo.pl/produkt/dobry-material-gruszki-na-wierzbie-033l/";"4.4";NA;"Pszeniczne";"Puree z gruszek, sok z jab³ek, nierafinowany cukier, a to wszystko podkrêcone naturalnym aromatem z wierzby. I jak tu nie spróbowaæ?! Idealny napój niegazowany na ch³odne, a tak¿e ciep³e dni. Zawiera 28% soku i naturalnie wytr¹caj¹cy siê osad na dnie. WSTRZ¥ŒNIJ TYM";5,99
"228";"Dobry Materia³ Mangooo 0,33l";"Bezalkoholowe";"https://ipiwo.pl/produkt/dobry-material-mangooo-033l/";"4.4";NA;"Pszeniczne";"Niepodwa¿alnie pyszna oran¿ada na bazie s³odkiej odmiany Alphonso z Indii. Tak¿e zabierze Ciê w podró¿ na bliski wschód bez wypuszczania butelki z d³oni.";6,19
"229";"Dobry Materia³ Œliwki na soœnie 0,33l";"Bezalkoholowe";"https://ipiwo.pl/produkt/dobry-material-sliwki-na-sosnie-033l/";"4.4";NA;"Pszeniczne";"Nasze rodzime œliwki, ale wêgierki w postaci soku i puree zosta³y sk¹pane w aromatycznym lesie sosnowym. Czujecie to? A¿ chce siê iœæ na spacer do lasu. Zawiera 28% soku i naturalnie wytr¹caj¹cy siê osad na dnie.";5,84
"230";"Dobry Materia³ Yerba Mate 0,33l";"Bezalkoholowe";"https://ipiwo.pl/produkt/dobry-material-yerba-mate-033l/";"4.4";NA;"Pszeniczne";"Zielona wró¿ka (ang. green fairy) wzbogaci³a nasz¹ klasyczn¹ YERBA MATE ekstraktem z kwiatów konopi, imbiru, a tak¿e tymianku. Spróbuj i poznaj jej nietuzinkowy smak! Zawartoœæ naturalnej kofeiny – 300 mg/l.";6,29
"231";"Dobry Materia³ Z cytryny 0,33l";"Bezalkoholowe";"https://ipiwo.pl/produkt/dobry-material-z-cytryny-033l/";"4.4";NA;"Pszeniczne";"100% naturalna dawka soku z cytryny w towarzystwie intensywnego imbiru, a tak¿e ogrodowej miêty. Lemoniada lekko gazowana i zawiera 10% soku.";6,24
"232";"Dobry Materia³ Z imbira 0,33l";"Bezalkoholowe";"https://ipiwo.pl/produkt/dobry-material-z-imbira-033l/";"4.4";NA;"Pszeniczne";"Imbirowe love. Dla tych, którzy uwielbiaj¹ ten korzeñ, mamy DOBRY MATERIA£ Z IMBIRA. Niegazowany napój z d³ugo macerowanym imbirem z sokami z: limonki, pomarañczy, jab³ek, a tak¿e cytryny. Zawiera 20% soku i naturalnie wytr¹caj¹cy siê osad na dnie.";5,86
"233";"Dobry Materia³ Z rabarbara 0,33l";"Bezalkoholowe";"https://ipiwo.pl/produkt/dobry-material-z-rabarbara-033l/";"4.4";NA;"Pszeniczne";"Prosto z polskich sadów w twoje rêce l¹duje bogate Ÿród³o witaminy C. Niekonwencjonalne po³¹czenie soku z rabarbaru, truskawek, jab³ek, a tak¿e ja³owca zosta³o muœniête nierafinowanym cukrem trzcinowym. Ten cud natury zawiera ponad 50% soku i naturalnie wytr¹caj¹cy siê osad na dnie.";6,65
"234";"Doctor Brew Double IPA 0,5l";"Doctor Brew";"https://ipiwo.pl/produkt/doctor-brew-double-ipa-05l/";"8.0";"18";"IPA";"Dojrza³oœæ. To wiêksza œwiadomoœæ, wiêcej doœwiadczeñ i chêæ siêgania po jeszcze wiêcej. Znasz to? Jesteœ wiêc gotowy na doros³e smaki, mocn¹ goryczkê i wysoki ekstrakt. Tacy jesteœmy.";9,99
"235";"Doctor Brew Molly IPA 0,5l";"Doctor Brew";"https://ipiwo.pl/produkt/doctor-brew-molly-ipa-05l/";"7.1";"16";"IPA";"Jakoœæ. Jak¹ miar¹ zmierzyæ sukces? Oprócz nagród, ale i pochwa³ istnieje najwy¿szy punkt tej skali – œwiadomoœæ, ¿e robimy coœ dobrze. Wiemy, ¿e obraliœmy w³aœciwy kierunek, a nasza droga zosta³a us³ana delikatnymi p³atkami ry¿u, których posypaliœmy na bogato! Potrzebujesz potwierdzenia? SprawdŸ ten napój pe³en lekkoœci, a tak¿e goryczki, które mieszaj¹ siê tworz¹c niezapomniane doznania smakowe.";8,49
"236";"Doctor Brew Summer Ale 0,5l";"Doctor Brew";"https://ipiwo.pl/produkt/doctor-brew-summer-ale-05l-2/";"4.2";"11";"Ale";"Œwie¿oœæ. Moglibyœmy rozpisywaæ siê o wyczuwalnych œwie¿ych owocach, ale bardziej intryguj¹ce bêdzie, jeœli poczujesz je sam. Pamiêtaj, ¿e œwie¿oœæ czêsto idzie w parze z lekkoœci¹. I choæ niektórzy twierdz¹, ¿e lekkoœæ bytu bywa nieznoœna, to my znosimy j¹ bardzo dobrze. A Ty?";7,98
"237";"Doctor Brew Vermont IPA 0,5l";"Doctor Brew";"https://ipiwo.pl/produkt/doctor-brew-vermont-ipa-05l/";"5.8";"14.5";"IPA";"Zaanga¿owanie. Anga¿uj, zestawiaj, kombinuj, a¿ osi¹gniesz cel. A najlepszy efekt uzyskasz, jeœli bêdziesz dzia³a³ ca³ym sob¹. Du¿o pracy w³o¿yliœmy, aby znaleŸæ to najlepsze po³¹czenie. Efekt poszukiwañ jest mêtny, rzeœki i bardzo soczysty. Odpowiednio wywa¿one s³ody i amerykañskie chmiele nadaj¹ piwu niebanalny smak.";7,98
"238";"Duchesse de Bourgogne Chocolate Cherry 0,33l";"Piwa trudno dostêpne";"https://ipiwo.pl/produkt/duchesse-de-bourgogne-chocolate-cherry-033l-2/";"6.8";NA;"Belgijskie";"Chocolate Duchesse Cherry to œwie¿e w smaku piwo wiœniowe dojrzewaj¹ce w dêbowych beczkach. Dodatkowo z 200 gramami pe³nych owoców na litr, a tak¿e naturalnym aromatem czekolady.";16,99
"239";"Dziki Wschód Czaj apacza- But. 0,5l";"Dziki Wschód";"https://ipiwo.pl/produkt/dziki-wschod-czaj-apacza-but-05l-2/";"5.0";"12";"APA";"Jasne, lekkie, orzeŸwiaj¹ce, pachn¹ce amerykañskimi chmielami. Wszystko czego mo¿na oczekiwaæ od piwa w stylu American Pale Ale zamkniête w jednej butelce. Aby jeszcze bardziej podkreœliæ cytrusowoœæ i wytrawnoœæ do naszego APA dodano herbatê Earl Grey. Zalecane do picia z fili¿anki codziennie o 17:00.";9,99
"240";"Dziki Wschód Exa-Ma-Gozua 0,33l";"Dziki Wschód";"https://ipiwo.pl/produkt/dziki-wschod-exa-ma-gozua-033l/";"12.54";"28";"Stout";"Exa-ma-gozua – Deszcz w Twarz: 1835-1905 * Dakota (Hunkpapa). Od m³odoœci wyró¿nia³ siê jako wybitny wojownik-imiê otrzyma³ po tym, gdy ca³y dzieñ walczy³ w ulewnym deszczu. Znany z malowania twarzy na czerwono i czarno. Zas³u¿ony wojownik w bitwie nad Little Bighorn: uwa¿any za tego, który zastrzeli³ gen. Custera. Na ³o¿u œmierci wyzna³, ¿e strzeli³ do genera³a, jednak “nie zjad³ jego serca”. Mawia³, ¿e po zakoñczeniu wojen w jego ¿yciu nie wydarzy³o siê ju¿ nic wa¿nego";26,99
"241";"Dziki Wschód King Kong 0,5l";"Dziki Wschód";"https://ipiwo.pl/produkt/dziki-wschod-king-kong-05l-2/";"6.0";"16";"Stout";"Apetyczny milk stout z dodatkiem ziaren kakaowca. W po³¹czeniu z mieszank¹ s³odów i laktoz¹ daj¹ mu aksamitny, bogaty smak czekolady, kawy, a tak¿e kakao. Ciemny, s³odki i kremowy, bêdzie znakomitym remedium na d³ugie, ch³odne wieczory.";9,99
"242";"Dziki Wschód Matho Wanathaka 0,33l";"Dziki Wschód";"https://ipiwo.pl/produkt/dziki-wschod-matho-wanathaka-033l/";"12.54";"30";"Stout";"Mat<U+021F>ó Waná<U+021F>taka * Kopi¹cy NiedŸwiedŸ * 1848-1893 * Dakota (Oglagla). Oficjalnie nie wybrano go wodzem plemienia, znany jednak jako jeden z liderów Dakotów i krzewiciel zakazanego rytua³u Tañca Ducha. Uznawany za przywódcê buntu w rezerwatach na Wielkich Równinach. Bra³ udzia³ w bitwie pod Little Bighorn, któr¹ 20 lat póŸniej namalowa³ na znanym obrazie. ZjeŸdzi³ Europê, wystêpuj¹c w widowisku Buffalo Billa. Przed œmierci¹ wróci³ do rezerwatu, aby oddaæ siê temu, co by³o dla niego najwa¿niejsze – rodzinie.";24,99
"243";"Dziki Wschód New Wave 0,5l puszka";"Dziki Wschód";"https://ipiwo.pl/produkt/dziki-wschod-new-wave-05l-puszka/";"6.6";"16";"NEIPA";"ART #08 – czesko-polska kooperacja uwarzona w Pivovar Clock. Polish New Wave NEIPA Z chmielami: Zula, Zombie, Zibi oczywiœcie od PolishHops
TERMIN PRZYDATNOŒCI DO SPO¯YCIA: 28.02.2022";14,49
"244";"Dziki Wschód Redneck’s Revenge 0,5l";"Dziki Wschód";"https://ipiwo.pl/produkt/dziki-wschod-rednecks-revenge-05l/";"6.2";"14";"inne";"Hmm..mieliœmy zrobiæ wspólne piwo ale po wielu dyskusjach stanê³o na Farmhouse IPA z angielskimi chmielami (Jester, Mystic, Archer). Fermentacj¹ zajê³a siê mieszanka dro¿dzy Espe Kveik i litewskich Farmhouse Jovaru. Uwarzyliœmy dobrze nachmielone piwo z wyraŸn¹, krótk¹ goryczk¹ z owocowo-kwiatowym aromatem. W smaku fajnie zbudowane, owocowo-ziemiste (nuty bia³ych owoców, winogron, zio³owoœæ).";12,99
"245";"Dziki Wschód Samotny jeŸdziec 0,5l";"Dziki Wschód";"https://ipiwo.pl/produkt/dziki-wschod-samotny-jezdziec-05l/";"4.5";"11";"Pils";"By³ Indianinem i to dobrym Indianinem. Jedynym jego b³êdem by³o zeznawanie przeciwko skorumpowanym kolegom z plemienia. Za to postanowili go zabiæ. Ofiar¹ pad³a jednak kobieta, któr¹ kocha³. Wrobiony w morderstwo, wyjêty spod prawa, œcigany jak zwierzê, sam sta³ siê myœliwym, ³owc¹ nagród… i Samotnym JeŸdzcem.";8,99
"246";"Dziki Wschód Szalony koñ 0,5l";"Dziki Wschód";"https://ipiwo.pl/produkt/dziki-wschod-szalony-kon-05l/";"4.5";"12";"Owocowe, Sour, Ale";"Oczekujesz w piwie jeszcze wiêcej owoców w smaku i aromacie, a tak¿e delikatnej kwaœnoœci na finiszu? To jest to piwo odpowiednie dla Ciebie. Aromatyczna egzotyka marakui pomo¿e siê zrelaksowaæ i orzeŸwiæ w upalne dni.";9,48
"247";"Dziki Wschód Tañcz¹cy z chmielami 0,5l";"Dziki Wschód";"https://ipiwo.pl/produkt/dziki-wschod-tanczacy-z-chmielami-05l-2/";"6.3";"15";"NEIPA";"Niesamowicie przyjemna i pijalna New England IPA. Piwo g³adkie, a tak¿e miêkkie, z nutami dojrza³ych, soczystych owoców tropikalnych. Dziêki niskiej goryczce i delikatnemu nagazowaniu pije siê z równ¹ przyjemnoœci¹, co sok owocowy.";10,98
"248";"Dziki Wschód TJMMNW 0,5l";"Dziki Wschód";"https://ipiwo.pl/produkt/dziki-wschod-tjmmnw-05l-2/";"4.5";"11";"Pils";"Brygada chapeau bas za to, ¿e trzymasz w ³apie pianê jedynej s³usznej marki. Ten zimny jak sercemby³ej browar powsta³ z myœl¹ o Tobie! Mam nadziejê, ¿e w³aœnie siê uœmiechn¹³eœ niemniej ni¿ podczas hymnu Ligi Mistrzów… Football Pils doda wiêcej smaku meczom, weekendom i tripom! Tak¿e wœlizgiem pod ladê jak do lokum do babeczek po taœmê KMWTW. Pamiêtaj, ¿e TJMMNW tworzysz w³aœnie Ty! Zdrowia!";8,99
"249";"Dziki Wschód Totem Szejenów 0,5l";"Dziki Wschód";"https://ipiwo.pl/produkt/dziki-wschod-totem-szejenow-05l/";"4.5";"12";"Owocowe, Sour";"Czejenowie – „czerwoni mówcy” – jedno z najs³ynniejszych i najbardziej walecznych plemion Wielkich Równin. Przywi¹zywali du¿¹ wagê do obrzêdu Tañca S³oñca. W XIX w. prowadzili intensywne wojny z wojskami amerykañskimi maj¹ce na celu zablokowanie ekspansji „bia³ych” na terenach Indian. Obecnie zamieszkuj¹ w rezerwatach w stanach Montana i Oklahoma. S³ynni Czejenowie: Czarny Kocio³, Poranna Gwiazda, Ma³y Wilk.";10,49
"250";"Dziki Wschód Totem Yakima 0,5l puszka";"Dziki Wschód";"https://ipiwo.pl/produkt/dziki-wschod-totem-yakima-05l-puszka/";"7.0";"18";"IPA";"Yakima – “Bêd¹cy w ci¹¿y”. Byli ³owcami, a tak¿e zbieraczami znanymi z handlu ³ososiem ³owionym w rzece Columbia. Pierwotnie zamieszkiwali tereny od Cascade Range po Simcoe Valley. W 1994 r. plemiê przyjê³o oficjaln¹ nazwê Skonfederowane Plemiona i Bandy Narodu Yakima – zmiana mia³a podkreœliæ natywna wymowa. Obecnie zamieszkuj¹ rezerwat w stanie Waszyngton.";11,69
"251";"Dziki Wschód Tytanowa czacha 0,5l";"Dziki Wschód";"https://ipiwo.pl/produkt/dziki-wschod-tytanowa-czacha-05l-2/";"8.0";"18";"IPA";"Tytanowa czacha — druga kooperacja z Tytanami Lublin, a wiêc podwójne uderzenie: Double IPA z grejpfrutem. Ma kopaæ jak kicker i byæ potê¿ne jak touchdown. Jest spora szansa, ¿e po degustacji krzykniecie „Go Defense!” (My te¿ niewiele z tego rozumiemy, dlatego warto iœæ na mecz Tytanów i ogarn¹æ o co chodzi).";11,49
"252";"Dziki Wschód W samo po³udnie 0,5l";"Dziki Wschód";"https://ipiwo.pl/produkt/dziki-wschod-w-samo-poludnie-05l/";"4.0";"10";"Lager";"Spotkaliœmy Browar Clock w samo po³udnie na ubitej ziemi… tzn. by³a dok³adnie 17.24 a za ubit¹ ziemiê robi³a pod³oga w browarze, ale faktem jest, ¿e spojrzeliœmy sobie g³êboko w oczy i ktoœ rzuci³: kooperacja! Na co Czesi: Super napad! Oddaliœmy im portfele. Nie chcieli. No to potrzebne by³y jeszcze tylko turboœwie¿e polskie, a tak¿e czeskie chmiele. Resztê historii trzymasz w rêkach. Na zdraví!";8,49
"253";"Dziki Wschód Wild Wild East 0,375l";"Dziki Wschód";"https://ipiwo.pl/produkt/dziki-wschod-wild-wild-east-0375l/";"5.0";"12";"Ale";"Od momentu za³o¿enia browaru Dziki Wschód wiedzieliœmy, ¿e kiedyœ przyjdzie nam siê zmierzyæ z uwarzeniem piwa prawdziwie dzikiego. By³o to nasze marzenie i plan na przysz³oœæ co zawarliœmy w naszym motto “Na dziko warzone”. Projekt z dzikusami zaczêliœmy na pocz¹tku 2020r.  Nasze “lambiczi” do dnia rozlewu, który mia³ miejsce kilka dni temu, grzecznie le¿akowa³o w dêbowych beczkach. Zrodzi³o siê piwo o lekko owocowych nutach skontrowanych delikatn¹ cierpkoœci¹, które zadowoli ka¿dego fana belgijskich piw.";34,99
"254";"Dziki Wschód Wild Wild East Earl Grey 0,375l";"Dziki Wschód";"https://ipiwo.pl/produkt/dziki-wschod-wild-wild-east-earl-grey-0375l/";"5.0";"12";"Ale";"Earl Grey Wild Ale – Wild Wild East, dro¿d¿e – WLP4613 Brussels Brattanomyces Blend le¿akowane ponad 12 miesiêcy w dêbowych beczkach.";33,39
"255";"Dziki Wschód Wolny duch- But. 0,5l";"Dziki Wschód";"https://ipiwo.pl/produkt/dziki-wschod-wolny-duch-but-05l-2/";"0.5";"6.0";"Bezalkoholowe, APA";"OdpowiedŸ Browaru Dziki Wschód na realn¹ potrzebê: “Co zrobiæ kiedy to Ty prowadzisz i jedyne na co mo¿esz sobie pozwoliæ to butelka soku?” Butelka piwa lepiej le¿y w rêku. I lepiej wygl¹da na zdjêciach. Poza tym lubisz smak piwa. Dobrego piwa. A nie soku. Smacznego. Nie ma za co <U+0001F609>";8,99
"256";"Fortuna Kwaœna pigwa 0,5l puszka";"Fortuna";"https://ipiwo.pl/produkt/fortuna-kwasna-pigwa-05l-puszka/";"5.6";NA;"Owocowe";"Piwna specjalnoœæ, której receptura oparta na owocach pigwy – zwanej niegdyœ te¿ “polsk¹ cytryn¹”. Zainspirowani tym nietuzinkowym owocem dojrzewaj¹cym jesieni¹ w przydomowych ogrodach stworzyliœmy piwo urzekaj¹ce aromatem dojrza³ej pigwy, jab³ek oraz s³odko – kwaskowym smakiem.";5,99
"257";"Fortuna Mirabelka 0,5l puszka";"Fortuna";"https://ipiwo.pl/produkt/fortuna-mirabelka-05l-puszka/";"5.1";NA;"Owocowe";"Piwna specjalnoœæ z wyj¹tkowym dodatkiem w postaci naturalnego soku z dojrza³ych, soczystych œliwek mirabelek. Po przelaniu do pokala ujmuje piêkn¹, z³oto-bursztynow¹ barw¹, a tak¿e niepowtarzalnym aromatem i smakiem. Przywodzi na myœl letni ciep³y wieczór spêdzony w ogrodzie.";5,99
"258";"Fortunatus IV – butelka 0,33l";"Fortuna";"https://ipiwo.pl/produkt/fortunatus-iv-butelka-033l/";"8.0";"18";"IPA";"Dzika wersja obficie chmielonego India Pale Ale, fermentowana w beczkach po czerwonym winie. Jest blendem ró¿nie prowadzonych beczek, którego finalne proporcje ustaliliœmy przed rozlewem.";21,99
"259";"Funky Fluid Achtung – 0,5l puszka";"Funky Fluid";"https://ipiwo.pl/produkt/funky-fluid-achtung-05l-puszka/";"6.5";NA;"NEIPA";"Po³¹czenie dwóch œwiatów – piwo uwarzone wspólnie przez Onara i Funky Fluid, z okazji premiery p³yty Achtung. Soczyste New England India Pale Ale nachmielone odmian¹ Sabro, znan¹ ze swojego niesamowicie kokosowo-ananasowego aromatu.";11,99
"260";"Funky Fluid Catcher – But. 0,5l";"Funky Fluid";"https://ipiwo.pl/produkt/funky-fluid-catcher-but-05l/";"8.2";"18";"Stout";"Klasyczny, o czekoladowo-kawowym charakterze, w którym dodatek s³odu ¿ytniego zapewnia przyjemn¹ treœciwoœæ, ale i g³adkoœæ";11,49
"261";"Funky Fluid Coffee Point Five 0,33l puszka";"Bezalkoholowe";"https://ipiwo.pl/produkt/funky-fluid-coffee-point-five-033l-puszka/";"0.5";NA;"Bezalkoholowe, NEIPA";"Bezalkoholowe IPA z dodatkiem kawy Etiopia Malawo Yellow Honey. Z wyczuwalnymi nutami mandarynki, liczi, a tak¿e ró¿y. Stworzona we wspó³pracy z warszawsk¹ palarni¹ HAYB.";8,19
"262";"Funky Fluid Creamy 0,5l puszka";"Funky Fluid";"https://ipiwo.pl/produkt/funky-fluid-creamy-05l-puszka/";"5.3";"14";"IPA";"Oat Cream Session IPA o intensywnym aromacie winogron, kokosa, a tak¿e owoców tropikalnych. Uzyskaliœmy je z eleganckiego po³¹czenia odmian chmielu z Nowej Zelandii i USA – Nelson Sauvin, Idaho 7, Sabro i Strata. Spor¹ iloœæ pszenicy i p³atków owsianych uzupe³niliœmy niewielkim dodatkiem laktozy, która ³adnie wyg³adzi³a ca³oœæ i podbi³a kremowy charakter piwa.";14,49
