"";"name";"brewery";"beer_link";"alc";"exctract";"type";"desc";"price"
"36";"AleBrowar World of IPA Vermont 0,5l puszka";"AleBrowar";"https://ipiwo.pl/produkt/alebrowar-world-of-ipa-vermont-05l-puszka/";"4.6";"14";"IPA";"Trzecie piwo w serii to: Vermont IPA. Chmiel: Strata, a tak¿e Belma. Oba chmiele to œwie¿ynki ze stanu Waszyngton na zachodnim wybrze¿u USA. Profil aromatyczny to g³ównie s³odkie owoce tropikalne melon, mango, marakuja, grejpfrut, a tak¿e truskawka. Fajna rzecz, polecamy!";13
"37";"Amber APA- American Pale Ale-  0,5l";"Amber";"https://ipiwo.pl/produkt/amber-apa-american-pale-ale-05l/";"5.2";"12.1";"APA";"American Pale Ale to odœwie¿aj¹co goryczkowe piwo o aromacie cytrusów i owoców tropikalnych z charakterystycznymi nutami ¿ywicznymi. Wyrazisty aromat to zas³uga chmieli amerykañskich: chinook, cascade, citra oraz simcoe, które oparte s¹ na solidnej, s³odowej podstawie. Owocowe estry oraz nuty ¿ywiczne orzeŸwiaj¹ i podkreœlaj¹ wytrawny charakter piwa. Piwo chmielone na zimno. Obecne w aromacie cytrusy sprawiaj¹, ¿e to piwo pasuje do lekkich sa³atek, a nawet do deserów takich jak ciasta owocowe. APA to równie¿ doskona³a propozycja do domowej roboty hamburgerów.";6,49
"38";"Amber Bezalkoholowe IPA- But 0,5l";"Amber";"https://ipiwo.pl/produkt/amber-bezalkoholowe-ipa-but-05l-2/";"0.5";NA;"Bezalkoholowe";"Bezalkoholowe IPA to lekkie piwo o wyraŸnej goryczce oraz œwie¿ym cytrusowo-¿ywicznym i owocowym zapachu. Swój charakterystyczny smak zawdziêcza wyj¹tkowej kompozycji amerykañskich i polskich chmieli: Citra, Sabro, Cascade, Marynka, a tak¿e Sybilla. Chmielenie na zimno wzmocni³o bukiet aromatów.";5,49
"39";"Amber Grand Imperial Porter 0,5l";"Amber";"https://ipiwo.pl/produkt/amber-grand-imperial-porter-05l/";"8.0";"18";"Porter";"Grand Imperial Porter to przedstawiciel stylu Porter Ba³tycki. Ju¿ od pierwszego ³yku zachwyca smakiem palonego ziarna po³¹czonym z nutami czekoladowymi, kawowymi, karmelowymi i wyczuwalnymi niuansami suszonych owoców. Wyró¿nia siê niezwykle gêst¹, kremow¹ pian¹ o doskona³ej strukturze. Idealny do deserów, zw³aszcza do gorzkiej czekolady. G³ównymi cechami wyró¿niaj¹cymi portera ba³tyckiego jest wykorzystanie dro¿d¿y dolnej fermentacji, s³odów palonych oraz d³ugie le¿akowanie. Pasjonaci stylu dodatkowo wyd³u¿aj¹ ten czas, co przy odpowiednich warunkach uszlachetnia smak. W naszym browarze czerpiemy z tradycji browarnictwa na Pomorzu. Dlatego porter ba³tycki by³ oczywistym wyborem. Jego receptura wykszta³ci³a siê w XIX wieku w krajach basenu Morza Ba³tyckiego oraz w Rosji. By³ zamiennikiem importowanego z Wielkiej Brytanii russian imperial stoutu. Porter doskonale uzupe³nia smak deserów. Niektórzy dodaj¹ do niego ga³kê lodów. W wersji wytrawnej idealnie wspó³gra z treœciwymi potrawami z czerwonego miêsa.";6,49
"40";"Amber India Pale Ale 500 ml – puszka";"Amber";"https://ipiwo.pl/produkt/amber-ipa-05l-puszka/";"5.8";"14.5";"IPA";"Jego intensywny smak i wyrazista goryczka sta³y siê punktem zapalnym piwnej rewolucji w Polsce. Dziœ jest to pozycja obowi¹zkowa ka¿dego piwosza. Uwarzyliœmy go wiêc i my – na naszym Pomorzu. IPA jest naszym najm³odszym piwem. Wypuszczamy je w wygodnej, rewolucyjnej puszce, która idealnie chroni przed œwiat³em, aby ka¿dy móg³ cieszyæ siê nim w jego najœwie¿szej postaci. Dziêki temu, po przelaniu do szklanki, smak piwa pozostaje praktycznie taki sam, jak zaraz po jego uwarzeniu. Chmiele Cascade, Chinook i Strata to po³¹czenie cytrusowego i tropikalnego aromatu ze zdecydowanym ¿ywicznym finiszem. Natomiast s³ody Pale Ale i znany i lubiany jasny pilzneñski – nasz klasyk – nadaj¹ piwu solidnego cia³a. To orzeŸwiaj¹ce, a jednoczeœnie pe³ne smaku po³¹czenie idealne na teraz. Bo jak nie teraz, to kiedy? Obecne w aromacie cytrusy sprawiaj¹, ¿e to piwo pasuje do pikantnych i sma¿onych dañ. IPA to równie¿ doskona³a propozycja do domowej roboty hamburgerów. India Pale Ale warzymy od 2021 roku. Serwowaæ w prostej szklance typu nonic pint w temperaturze 10-12°C.
TERMIN PRZYDATNOŒCI DO SPO¯YCIA: 15.03.2022";7,49
"41";"Amber Pszeniczniak – But. 0,5l";"Amber";"https://ipiwo.pl/produkt/amber-pszeniczniak-but-05l/";"5.2";"12.1";"Pszeniczne";"Piwo pszeniczne pe³ne zapachów dojrzewaj¹cego zbo¿a, chrupi¹cego chleba, a tak¿e œwie¿ego ziarna. To jeden z najstarszych stylów piwa w Europie, który równie¿ dziêki Pszeniczniakowi odzyskuje swój polski charakter. Pszeniczniak – inspirowany kilkusetletni¹ tradycj¹ warzenia tego piwa na Pomorzu. To piwo, w którym klasyczne bananowo-goŸdzikowe nuty harmonijnie przenikaj¹ siê z delikatnie chmielow¹ goryczk¹. Warzony metod¹ górnej fermentacji. Naturalnie mêtny.";6,49
"42";"Anstadt Potrójnie Miodowe- But. 0,5l";"Staropolski";"https://ipiwo.pl/produkt/anstadt-potrojnie-miodowe-but-05l/";"5.5";NA;"Miodowe";"Anstadt Pilzeñskie Potrójnie Miodowe – jasne piwo dolnej fermentacji, ale z du¿ym dodatkiem naturalnego miodu pszczelego. Rarytas dla wielbicieli tradycyjnych smaków.";7,98
"43";"Art+47 Italian Pils 0,44l puszka";"Promocje";"https://ipiwo.pl/produkt/art47-italian-pils-044l-puszka/";"5.1";NA;"Pils";"Pod kryptonimem Art 47 kryje siê Italian Pils. Uwarzyliœmy go niedawno z zaprzyjaŸnionym rzymskim browarem Rebels (ch³opaki odwiedzi³y nas we Wroc³awiu). Przesympatycznych piwowarów z W³och zapoznaliœmy w Hiszpanii i szybko znaleŸliœmy z nimi wspólny jêzyk. Mieliœmy warzyæ razem ju¿ dawno temu, ale nasze plany pokrzy¿owa³a pandemia. Jak widaæ, co siê odwlecze, to nie uciecze, bo Italian Pils ju¿ za chwilkê znajdzie siê w Waszych ³apkach.";8,49
"44";"Art+49 Imperial Brown Ale Coffee Dulce de Leche";"Nowoœci w puszce";"https://ipiwo.pl/produkt/art49-imperial-brown-ale-coffee-dulce-de-leche-kopia/";"10.5";NA;"Ale";"To piwo uwarzyliœmy z mieszank¹ europejskich s³odów i laktoz¹. Kondycjonowaliœmy na œwie¿o palonych ziarnach kawy i Dulce de leche, czyli – bardziej swojsko – deserowym kajmaku. Wysz³o dok³adnie tak, jak mia³o wyjœæ – palce lizaæ.";17,99
"45";"Artezan Chateu – But. 375 ml";"Artezan";"https://ipiwo.pl/produkt/artezan-chateu-but-375-ml/";"7.2";"17.5";"Sour, inne";"Jest to piwo szczególne. Pionierski projekt, którego pocz¹tki siêgaj¹ 2013 roku. M³ode piwo, prosto z fermentacji, trafi³o do sprowadzonych z Francji beczek po winie. Pomys³ szybko okaza³ siê pocz¹tkiem serii. Kolejne warki wychodz¹ w nieregularnych odstêpach. Château potrzebuje czasu. Dojrzewa niespiesznie. Wersja 2021 spêdzi³a w dêbowych beczkach ponad 24 miesi¹ce. W aromacie wyczuwamy nuty dêbiny, czerwonych owoców, a tak¿e rodzynek. W smaku owoce uzupe³nia wanilia. Dzikie kultury dro¿d¿y, ale i bakterii nada³y Château przyjemn¹ kwaœnoœæ i nieprzeciêtny charakter. Aromat, a tak¿e smak wymykaj¹ siê tu tradycyjnemu myœleniu o piwie.";32,39
"46";"Artezan Chcesz ciasteczko BBA- But. 0,5l";"Artezan";"https://ipiwo.pl/produkt/artezan-chcesz-ciasteczko-bba-05l/";"11.0";NA;"Stout";"Do potê¿nego zasypu palono-czekoladowego dodaliœmy laktozy, aby nadaæ piwu s³odyczy i g³adkoœci. Nastêpnie przefermentowaliœmy go razem z malinami, by ostatecznie trafi³ do dêbowych beczek po bourbonach Buffalo Trace, Four Roses. Po niemal 12 miesi¹cach zmieszaliœmy otrzymany trunek z ziarnami kakaowca i odrobin¹ wanilii. Nada³o to temu malinowemu torcikowi, gorzkawy, czekoladowy finisz. Ale, jak mawia³ poeta, szkoda szczempiæ je¿owy ryjek, przekonajcie siê sami jak wysz³o!";26,99
"47";"Artezan Mera IPA – 500 ml";"Artezan";"https://ipiwo.pl/produkt/artezan-mera-ipa-05l-2/";"6.5";NA;"IPA";"Jasne, wyraŸnie wytrawne piwo z przyjemnym z³o¿onym aromatem owoców egzotycznych, a tak¿e cytrusów. Konkretna goryczka, dobrze wkomponowana w posmaki owocowe nie umniejsza pijalnoœci.";10,69
"48";"Artezan Preparat – But. 0,5l";"Artezan";"https://ipiwo.pl/produkt/artezan-preparat-but-05l/";"9.0";NA;"Barley Wine";"Wiemy, ¿e têskniliœcie za s³odycz¹ z nutami dymu, rodzynek, herbatników, a tak¿e suszonej œliwki w aromacie. W³aœnie dla Was w blasku wêdzonej chwa³y powraca Preparat! Gêsty, mocny i rozgrzewaj¹cy – jak zawsze. W sam raz na to, co dzieje siê za oknem.";19,99
"49";"Artezan Zegarki B³onie – But. 0,5l";"Artezan";"https://ipiwo.pl/produkt/artezan-zegarki-blonie-but-05l/";"5.0";"12";"Pils";"Czwarta czêœæ serii Kroniki Artezana upamiêtni najbardziej kultowy produkt b³oñskich Zak³adów Mechaniczno Precyzyjnych Mera – zegarki! Zegarki B³onie to chmielony amerykañskim chmielem lekki pils. Piwami z serii Kroniki Artezana opowiadamy historiê b³oñskiego rzemios³a i przemys³u, warzymy je w koñcu w dawnej hali Zak³adów Mechaniczno-Precyzyjnych Mera-B³onie. W 1959 uruchomiono tu produkcjê zegarków. W 1961 b³oñskie zak³ady by³y gotowe do monta¿u czasomierzy z czêœci wytworzonych na miejscu, in¿ynierowie zostali jednak zmuszeni do korzystania z podzespo³ów pochodz¹cych z moskiewskiej fabryki im. Kirowa. Do 1969 roku w B³oniu wyprodukowano ponad milion zegarków. Kultowa marka „B³onie” powróci³a na rynek w 2014 roku dziêki pasji i zaanga¿owaniu jej mi³oœników. To w³aœnie w kooperacji z nimi przygotowaliœmy to piwo. Nasza wspó³praca zaowocowa³a równie¿ powstaniem specjalnego zegarka.";9,99
"50";"Bavaria Fruity Rose – But. 0,25l";"Bavaria";"https://ipiwo.pl/produkt/bavaria-fruity-rose-but-025l/";"0.0";NA;"Owocowe";"Bavaria Fruity Rose 0% to piwo bezalkoholowe o smaku malinowo-wiœniowym. Uwarzone przez holenderski Bavaria Brouwerij z miejscowoœci Lieshout, warzone wed³ug unikalnej receptury. Bavaria Fruity Rose to po³¹czenie piwa Bavaria Premium Original Non Alcoholic z sokiem malinowo-wiœniowym. Po³¹czenie malin i  wiœni  sprawia, ¿e <U+200B><U+200B>jest to owocowe, œwie¿e bezalkoholowe piwo o lekko s³odko-owocowym posmaku.";3,99
"51";"Bavaria IPA 0,00%– But. 0,33l";"Bavaria";"https://ipiwo.pl/produkt/bavaria-ipa-000-but-033l/";"0.0";NA;"Bezalkoholowe, IPA";"Warzone w Brouwerij Bavaria z holenderskiego miasta Lieshout. Jest to piwo bezalkoholowe, które swoim smakiem, ale i aromatem nawi¹zuje do dobrego Pilsenera i posiada wszystkie cechy dobrego piwa. Pij¹c nasz¹ bezalkoholow¹ Bavarie mo¿esz poczuæ jej pe³ny smak i cieszyæ siê naturalnym aromatem, nie myœl¹c o tym, ¿e pijesz piwo bezalkoholowe. Specjalne metody warzenia sprawi³y, i¿ piwo pozbawione alkoholu nadal ma swój charakterystyczny smak i wyrazisty aromat. Wiele piw nazwanych bezalkoholowymi, zawiera do 0,5% alkoholu objêtoœciowo. Bavaria jest w stu procentach bezalkoholowa. Sk³ad: naturalna woda mineralna, s³ód jêczmienny, pszenica, chmiel.";4,99
"52";"Bavaria Lemon – But. 330 ml";"Bavaria";"https://ipiwo.pl/produkt/bavaria-lemon-but-330-ml/";"0.0";NA;"Bezalkoholowe, Owocowe";"Produkt holenderskiego browaru Bavaria bêd¹cy mieszank¹ piwa i soku cytrynowego. Jest to mocno orzeŸwiaj¹ce piwo z dominuj¹cym zapachem, ale i smakiem cytrynowym i niewielkim posmakiem piwa bazowego w tle.";4,49
"53";"Bavaria Mango/Passion – But. 0,33l";"Bavaria";"https://ipiwo.pl/produkt/bavaria-mango-passion-but-033l/";"0.0";NA;"Bezalkoholowe, Owocowe";"Bezalkoholowy napój piwny o smaku mango, a tak¿e marakui uwarzone przez holenderski browar Bavaria z Lieshout.";4,49
"54";"Bavaria Original 0,0%- But. 0,33l";"Bavaria";"https://ipiwo.pl/produkt/bavaria-original-00-033l/";"0.0";NA;"Bezalkoholowe";"Piwo bezalkoholowe dolnej fermentacji ze s³odu pszenicznego. Popularne piwo bezalkoholowe 0,0% wyprodukowane oryginaln¹ metod¹ opracowan¹ przez browar Bavaria. Unikalny, pe³ny smak. %
Zawartoœæ ekstraktu 6,3%. Piwo podajemy sch³odzone. Doskonale orzeŸwia, a tak¿e gasi pragnienie. Wyœmienite równie¿ jako dodatek do pomys³owych koktajli piwnych.";3,99
"55";"Bavaria Peach – butelka 330 ml";"Bavaria";"https://ipiwo.pl/produkt/bavaria-peach-but-330-ml/";"0.0";NA;"Bezalkoholowe, Owocowe";"Bavaria Peach – piwo bezalkoholowe dolnej fermentacji ze s³odu pszenicznego o smaku brzoskwiniowym. Popularne piwo bezalkoholowe 0,0% wyprodukowane oryginaln¹ metod¹ opracowan¹ przez browar Bavaria. Bavaria zmieni³a proces warzenia, aby alkohol w tym piwie w ogóle siê nie pojawia³. Taka operacja umo¿liwia uzyskanie unikalnego, pe³nego smaku.";4,49
"56";"Bavaria Strawberry – But. 0,33l";"Bavaria";"https://ipiwo.pl/produkt/bavaria-strawberry-but-033l/";"0.0";NA;"Bezalkoholowe, Owocowe";"Warzone przez Family Royal Swinkels z Holandii. Jest to smakowe, bezalkoholowe piwo uwarzone na wodzie mineralnej z naturalnymi aromatami truskawki. S³odkie, owocowe, a tak¿e mocno orzeŸwiaj¹ce.";4,49
"57";"Bergquell Porter Erdbeer (truskawka) 0,5l B/zwr";"Popularne";"https://ipiwo.pl/produkt/bergquell-porter-erdbeer-truskawka-05l-b-zwr/";"4.2";NA;"Porter";"To kolejny owocowy mix na bazie Portera z niemieckiego browaru Bergquell-Brewery Löbau. Mix 95% Portera i 5% syropu z truskawek jest œwie¿¹ owocow¹ propozycj¹, ale i ca³kiem nowym doznaniem.";5,99
"58";"Bergquell Porter Kirsch (wiœnia) 0,5l B/zwr";"Popularne";"https://ipiwo.pl/produkt/bergquell-porter-kirsch-wisnia-05l-b-zwr/";"4.2";NA;"Porter";"Niemiecki porter wiœniowy pochodz¹cy z browaru Bergquell-Brewery Löbau. W sk³adzie 95% Portera i 5% syropu wiœniowego. Piana gêsta, ale nietrwa³a. Kolor ciemny, przyjemny.";5,99
"59";"Bestbir Ananasowy– But. 0,5l";"Staropolski";"https://ipiwo.pl/produkt/bestbir-ananas/";"4.7";"10";"Owocowe, Lager";"Piwa z otwartych kadzi tworzone w Browarze Staropolskim, ale z dodatkiem owocowych syropów";5,89
"60";"Bestbir Cytryna- – But. 0,5l";"Staropolski";"https://ipiwo.pl/produkt/bestbir-cytryna-but-05l/";"4.7";"10";"Owocowe, Lager";"BestBir Cytryna – bez w¹tpienia powiew œródziemnomorskiej bryzy wœród BestBirów. OrzeŸwiaj¹cy cytrynowy smak po³¹czony z doskona³ym piwem Browaru Staropolskiego.";5,89
"61";"Bestbir Czekolada z Pomarañcz¹-But. 0,5l";"Staropolski";"https://ipiwo.pl/produkt/bestbir-czekolada-z-pomarancza-but-05l/";"4.7";"10";"Lager";"Piwo ciemne o smaku czekolada z pomarañcz¹. Nuty czekoladowe to zas³uga s³odu karmelowego, delikatnie wzmocnione odrobin¹ czekolady. Ca³oœci smaku dope³nia syrop pomarañczowy. W smaku piwo bardzo pe³ne, syc¹ce, czekoladowe, a tak¿e s³odkie i lekko kwaœne.";5,89
"62";"Bestbir Dzika Ró¿a- But. 0,5l";"Staropolski";"https://ipiwo.pl/produkt/bestbir-dzika-roza-but-05l/";"4.7";"10";"Owocowe, Lager";"BestBir Dzika Ró¿a – po³¹czenie klasycznego smaku piwa Browaru Staropolskiego z syropem dzikiej ró¿y. Piwo doskona³e zw³aszcza na zimne wieczory.";5,89
"63";"Bestbir Gruszka z Melis¹-But. 0,5l";"Staropolski";"https://ipiwo.pl/produkt/bestbir-gruszka-z-melisa-but-05l/";"4.7";"10";"Owocowe, Lager";"BestBir Gruszka Melisa – ³agodny smak dojrza³ej gruszki po³¹czony z ekstraktem z uspokajaj¹cej melisy. Do tego oczywiœcie doskona³e piwo z Browaru Staropolskiego.";5,89
"64";"Bestbir Imbir z Miodem- But. 0,5l";"Staropolski";"https://ipiwo.pl/produkt/bestbir-imbir-z-miodem-but-05l-2/";"4.7";"10";"Owocowe, Lager";"BestBir Imbir z Miodem – rozgrzewaj¹cy imbir wraz z naturalnym miodem i piwem Browaru Staropolskiego. Jest doskona³ym napojem przede wszystkim na mroŸne dni.";5,89
"65";"Bestbir Kokosowy– But. 0,5l";"Staropolski";"https://ipiwo.pl/produkt/bestbir-kokosowy-but-05l/";"4.7";"10";"Lager";"BestBir Kokos – odrobina równikowej egzotyki w serii BestBir. Doskona³e piwo Browaru Staropolskiego dodatkowo po³¹czone z sokiem z orzechów kokosowych.";5,89
"66";"Bestbir Letnia Œliwka- But.0,5l";"Staropolski";"https://ipiwo.pl/produkt/bestbir-letnia-sliwka-but-05l/";"4.7";"10";"Owocowe, Lager";"BestBir Letnia Œliwka – wyj¹tkowy smak pierwszych letnich odmian œliwy, ale zamkniêty w jednej butelce z doskona³ym piwem Browaru Staropolskiego.";5,89
"67";"Bestbir Malina Pigwa- But. 0,5l";"Staropolski";"https://ipiwo.pl/produkt/bestbir-malina-pigwa-but-05l-2/";"4.7";"10";"Lager";"BestBir Malina Pigwa – tradycyjne polskie owoce do nalewek, ale po³¹czone z doskona³ym piwem Browaru Staropolskiego.";5,89
"68";"Bestbir Mêski lager – But. 0,5l";"Staropolski";"https://ipiwo.pl/produkt/bestbir-meski-lager-but-05l/";"6.1";"12";"Lager";"BestBir Mêski Lager – doskona³e piwo z Browaru Staropolskiego. Po prostu. Czyli dla prawdziwych mê¿czyzn.";5,49
"69";"Bestbir Mêski Rum- But. 0,5l";"Staropolski";"https://ipiwo.pl/produkt/bestbir-meski-rum-but-05l/";"5.6";NA;"Lager";"Ciemne piwo karmelowe o smaku karaibskiego rumu. Dla tych co lubi¹ rum, ale i piwo.";5,89
"70";"Bestbir Miód Cytryna- But .0,5l";"Staropolski";"https://ipiwo.pl/produkt/bestbir-miod-cytryna-but-05l/";"4.7";"10";"Owocowe, Lager";"Piwa z otwartych kadzi tworzone w Browarze Staropolskim, ale z dodatkiem owocowych syropów";5,89
"71";"Bestbir Pacific Brzoskwinia- But. 0,5l";"Staropolski";"https://ipiwo.pl/produkt/bestbir-pacific-brzoskwinia/";"4.7";"11";"Owocowe, Lager";"Bestbir Pacific Brzoskwinia – po³¹czenie lekkoœci i orzeŸwienia. Stylu american wheat z zaskakuj¹cymi aromatami nowozelandzkich odmian chmielu, a tak¿e z dodatkiem syropu brzoskwiniowego Herbapol. Jedyne takie piwo dostêpne na rynku!";5,89
"72";"Bestbir Pacific Mango Ananas-But. 0,5l";"Staropolski";"https://ipiwo.pl/produkt/bestbir-pacific-mango-ananas-but-05l-2/";"4.7";"11";"Owocowe, Pszeniczne";"Po³¹czenie lekkoœci i orzeŸwienia stylu american wheat z zaskakuj¹cymi aromatami nowozelandzkich odmian chmielu, a tak¿e z dodatkiem syropu mango-ananas Herbapol. Jedyne takie piwo dostêpne na rynku!";5,89
"73";"Bestbir Pacific z Grejpfrutem-but. 0,5l";"Staropolski";"https://ipiwo.pl/produkt/bestbir-pacific-z-grejpfrutem/";"4.70%";"11 blg";"Fruit";"Piwa z otwartych kadzi tworzone w Browarze Staropolskim, ale z dodatkiem owocowych syropów";5,89
"74";"Bestbir Pieczone Jab³ko-But.0,5l";"Staropolski";"https://ipiwo.pl/produkt/bestbir-pieczone-jablko/";"4.7";"10";"Lager";"BestBir Pieczone Jab³ko – smak jab³ka pieczonego dodatkowo ze szczypt¹ startej kory cynamonowca. Do tego naturalnie doskona³e piwo z Browaru Staropolskiego.";5,89
"75";"Bestbir PUSZKA Malina & Pigwa-0,5l puszka";"Staropolski";"https://ipiwo.pl/produkt/bestbir-puszka-malina-pigwa/";"4.7";"10";"Owocowe, Lager";"BestBir Malina Pigwa – tradycyjne polskie owoce do nalewek, ale po³¹czone z doskona³ym piwem Browaru Staropolskiego.";5,49
"76";"Bestbir Truskawka- But. 0,5l";"Staropolski";"https://ipiwo.pl/produkt/bestbir-truskawka-but-05l/";"4.7";NA;"Owocowe";"Piwa z otwartych kadzi tworzone w Browarze Staropolskim, ale z dodatkiem owocowych syropów.";5,89
